ts_utc,zone,series,value,source
2023-01-04T12:00:00,DE-LU,price.day_ahead,79.72,energy_charts
2023-01-04T13:00:00,DE-LU,price.day_ahead,80.22,energy_charts
2023-01-04T14:00:00,DE-LU,price.day_ahead,79.74,energy_charts
2023-01-04T15:00:00,DE-LU,price.day_ahead,80.82,energy_charts
2023-01-04T16:00:00,DE-LU,price.day_ahead,86.16,energy_charts
2023-01-04T17:00:00,DE-LU,price.day_ahead,72.28,energy_charts
2023-01-04T18:00:00,DE-LU,price.day_ahead,66.61,energy_charts
2023-01-04T19:00:00,DE-LU,price.day_ahead,43.2,energy_charts
2023-01-04T20:00:00,DE-LU,price.day_ahead,31.25,energy_charts
2023-01-04T21:00:00,DE-LU,price.day_ahead,34.96,energy_charts
2023-01-04T22:00:00,DE-LU,price.day_ahead,9.09,energy_charts
2023-01-04T23:00:00,DE-LU,price.day_ahead,0.05,energy_charts
2023-01-05T00:00:00,DE-LU,price.day_ahead,0.07,energy_charts
2023-01-05T01:00:00,DE-LU,price.day_ahead,0.07,energy_charts
2023-01-05T02:00:00,DE-LU,price.day_ahead,0.12,energy_charts
2023-01-05T03:00:00,DE-LU,price.day_ahead,2.23,energy_charts
2023-01-05T04:00:00,DE-LU,price.day_ahead,10.07,energy_charts
2023-01-05T05:00:00,DE-LU,price.day_ahead,61.04,energy_charts
2023-01-05T06:00:00,DE-LU,price.day_ahead,87.19,energy_charts
2023-01-05T07:00:00,DE-LU,price.day_ahead,95.84,energy_charts
2023-01-05T08:00:00,DE-LU,price.day_ahead,125.55,energy_charts
2023-01-05T09:00:00,DE-LU,price.day_ahead,131.92,energy_charts
2023-01-05T10:00:00,DE-LU,price.day_ahead,143.07,energy_charts
2023-01-05T11:00:00,DE-LU,price.day_ahead,140.91,energy_charts
2023-01-05T12:00:00,DE-LU,price.day_ahead,142.58,energy_charts
2023-01-05T13:00:00,DE-LU,price.day_ahead,151.03,energy_charts
2023-01-05T14:00:00,DE-LU,price.day_ahead,159.48,energy_charts
2023-01-05T15:00:00,DE-LU,price.day_ahead,172.73,energy_charts
2023-01-05T16:00:00,DE-LU,price.day_ahead,194.7,energy_charts
2023-01-05T17:00:00,DE-LU,price.day_ahead,194.67,energy_charts
2023-01-05T18:00:00,DE-LU,price.day_ahead,177.98,energy_charts
2023-01-05T19:00:00,DE-LU,price.day_ahead,163.99,energy_charts
2023-01-05T20:00:00,DE-LU,price.day_ahead,152.0,energy_charts
2023-01-05T21:00:00,DE-LU,price.day_ahead,144.64,energy_charts
2023-01-05T22:00:00,DE-LU,price.day_ahead,127.0,energy_charts
2023-01-05T23:00:00,DE-LU,price.day_ahead,107.21,energy_charts
2023-01-06T00:00:00,DE-LU,price.day_ahead,101.1,energy_charts
2023-01-06T01:00:00,DE-LU,price.day_ahead,96.73,energy_charts
2023-01-06T02:00:00,DE-LU,price.day_ahead,82.34,energy_charts
2023-01-06T03:00:00,DE-LU,price.day_ahead,81.93,energy_charts
2023-01-06T04:00:00,DE-LU,price.day_ahead,84.03,energy_charts
2023-01-06T05:00:00,DE-LU,price.day_ahead,97.25,energy_charts
2023-01-06T06:00:00,DE-LU,price.day_ahead,106.51,energy_charts
2023-01-06T07:00:00,DE-LU,price.day_ahead,120.7,energy_charts
2023-01-06T08:00:00,DE-LU,price.day_ahead,116.86,energy_charts
2023-01-06T09:00:00,DE-LU,price.day_ahead,112.85,energy_charts
2023-01-06T10:00:00,DE-LU,price.day_ahead,113.37,energy_charts
2023-01-06T11:00:00,DE-LU,price.day_ahead,115.0,energy_charts
2023-01-06T12:00:00,DE-LU,price.day_ahead,109.78,energy_charts
2023-01-06T13:00:00,DE-LU,price.day_ahead,119.71,energy_charts
2023-01-06T14:00:00,DE-LU,price.day_ahead,125.83,energy_charts
2023-01-06T15:00:00,DE-LU,price.day_ahead,139.57,energy_charts
2023-01-06T16:00:00,DE-LU,price.day_ahead,155.93,energy_charts
2023-01-06T17:00:00,DE-LU,price.day_ahead,163.5,energy_charts
2023-01-06T18:00:00,DE-LU,price.day_ahead,146.74,energy_charts
2023-01-06T19:00:00,DE-LU,price.day_ahead,139.38,energy_charts
2023-01-06T20:00:00,DE-LU,price.day_ahead,131.8,energy_charts
2023-01-06T21:00:00,DE-LU,price.day_ahead,129.94,energy_charts
2023-01-06T22:00:00,DE-LU,price.day_ahead,121.3,energy_charts
2023-01-06T23:00:00,DE-LU,price.day_ahead,97.15,energy_charts
2023-01-07T00:00:00,DE-LU,price.day_ahead,98.43,energy_charts
2023-01-07T01:00:00,DE-LU,price.day_ahead,96.05,energy_charts
2023-01-07T02:00:00,DE-LU,price.day_ahead,87.97,energy_charts
2023-01-07T03:00:00,DE-LU,price.day_ahead,82.99,energy_charts
2023-01-07T04:00:00,DE-LU,price.day_ahead,83.59,energy_charts
2023-01-07T05:00:00,DE-LU,price.day_ahead,90.76,energy_charts
2023-01-07T06:00:00,DE-LU,price.day_ahead,103.21,energy_charts
2023-01-07T07:00:00,DE-LU,price.day_ahead,111.86,energy_charts
2023-01-07T08:00:00,DE-LU,price.day_ahead,112.0,energy_charts
2023-01-07T09:00:00,DE-LU,price.day_ahead,100.0,energy_charts
2023-01-07T10:00:00,DE-LU,price.day_ahead,88.32,energy_charts
2023-01-07T11:00:00,DE-LU,price.day_ahead,87.9,energy_charts
2023-01-07T12:00:00,DE-LU,price.day_ahead,94.05,energy_charts
2023-01-07T13:00:00,DE-LU,price.day_ahead,88.98,energy_charts
2023-01-07T14:00:00,DE-LU,price.day_ahead,85.56,energy_charts
2023-01-07T15:00:00,DE-LU,price.day_ahead,94.1,energy_charts
2023-01-07T16:00:00,DE-LU,price.day_ahead,96.81,energy_charts
2023-01-07T17:00:00,DE-LU,price.day_ahead,99.52,energy_charts
2023-01-07T18:00:00,DE-LU,price.day_ahead,94.58,energy_charts
2023-01-07T19:00:00,DE-LU,price.day_ahead,87.86,energy_charts
2023-01-07T20:00:00,DE-LU,price.day_ahead,61.47,energy_charts
2023-01-07T21:00:00,DE-LU,price.day_ahead,50.0,energy_charts
2023-01-07T22:00:00,DE-LU,price.day_ahead,38.25,energy_charts
2023-01-07T23:00:00,DE-LU,price.day_ahead,10.93,energy_charts
2023-01-08T00:00:00,DE-LU,price.day_ahead,9.07,energy_charts
2023-01-08T01:00:00,DE-LU,price.day_ahead,9.1,energy_charts
2023-01-08T02:00:00,DE-LU,price.day_ahead,4.16,energy_charts
2023-01-08T03:00:00,DE-LU,price.day_ahead,5.58,energy_charts
2023-01-08T04:00:00,DE-LU,price.day_ahead,9.92,energy_charts
2023-01-08T05:00:00,DE-LU,price.day_ahead,9.02,energy_charts
2023-01-08T06:00:00,DE-LU,price.day_ahead,16.47,energy_charts
2023-01-08T07:00:00,DE-LU,price.day_ahead,49.42,energy_charts
2023-01-08T08:00:00,DE-LU,price.day_ahead,82.8,energy_charts
2023-01-08T09:00:00,DE-LU,price.day_ahead,93.7,energy_charts
2023-01-08T10:00:00,DE-LU,price.day_ahead,103.87,energy_charts
2023-01-08T11:00:00,DE-LU,price.day_ahead,101.69,energy_charts
2023-01-08T12:00:00,DE-LU,price.day_ahead,99.0,energy_charts
2023-01-08T13:00:00,DE-LU,price.day_ahead,104.29,energy_charts
2023-01-08T14:00:00,DE-LU,price.day_ahead,103.64,energy_charts
2023-01-08T15:00:00,DE-LU,price.day_ahead,109.11,energy_charts
2023-01-08T16:00:00,DE-LU,price.day_ahead,118.04,energy_charts
2023-01-08T17:00:00,DE-LU,price.day_ahead,122.61,energy_charts
2023-01-08T18:00:00,DE-LU,price.day_ahead,109.11,energy_charts
2023-01-08T19:00:00,DE-LU,price.day_ahead,103.93,energy_charts
2023-01-08T20:00:00,DE-LU,price.day_ahead,98.43,energy_charts
2023-01-08T21:00:00,DE-LU,price.day_ahead,99.37,energy_charts
2023-01-08T22:00:00,DE-LU,price.day_ahead,81.34,energy_charts
2023-01-08T23:00:00,DE-LU,price.day_ahead,75.13,energy_charts
2023-01-09T00:00:00,DE-LU,price.day_ahead,64.38,energy_charts
2023-01-09T01:00:00,DE-LU,price.day_ahead,60.28,energy_charts
2023-01-09T02:00:00,DE-LU,price.day_ahead,39.41,energy_charts
2023-01-09T03:00:00,DE-LU,price.day_ahead,47.25,energy_charts
2023-01-09T04:00:00,DE-LU,price.day_ahead,69.07,energy_charts
2023-01-09T05:00:00,DE-LU,price.day_ahead,107.13,energy_charts
2023-01-09T06:00:00,DE-LU,price.day_ahead,160.0,energy_charts
2023-01-09T07:00:00,DE-LU,price.day_ahead,180.0,energy_charts
2023-01-09T08:00:00,DE-LU,price.day_ahead,177.14,energy_charts
2023-01-09T09:00:00,DE-LU,price.day_ahead,159.07,energy_charts
2023-01-09T10:00:00,DE-LU,price.day_ahead,160.57,energy_charts
2023-01-09T11:00:00,DE-LU,price.day_ahead,140.56,energy_charts
2023-01-09T12:00:00,DE-LU,price.day_ahead,137.67,energy_charts
2023-01-09T13:00:00,DE-LU,price.day_ahead,143.57,energy_charts
2023-01-09T14:00:00,DE-LU,price.day_ahead,151.02,energy_charts
