zone,target_day,issued_at,ts_utc,pred,model,on_time
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 03:00:00,186.92279529604104,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 08:00:00,108.2479358739472,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 14:00:00,126.88337768231504,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 04:00:00,205.1240214775385,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 11:00:00,73.64923502258944,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 16:00:00,213.77433345765428,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 09:00:00,87.19955682558005,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 17:00:00,221.96247960970945,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 05:00:00,208.4863437444728,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 21:00:00,179.48406794060142,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-13 23:00:00,189.0860004537521,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 10:00:00,77.13524134842636,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 15:00:00,158.57986560640614,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 00:00:00,170.32205846560723,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 07:00:00,167.84689257778888,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 01:00:00,171.75129738111502,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 19:00:00,209.259282278164,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 12:00:00,72.92506492463615,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 06:00:00,207.30389680963788,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-13 22:00:00,192.5652519612136,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 20:00:00,193.43139648202165,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 02:00:00,182.38249671339608,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 18:00:00,218.8020401072488,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:23:53.433587,2026-09-14 13:00:00,86.53493378500248,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 11:00:00,73.64923502258944,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 16:00:00,213.77433345765428,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 03:00:00,186.92279529604104,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 14:00:00,126.88337768231504,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 08:00:00,108.2479358739472,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 04:00:00,205.1240214775385,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 17:00:00,221.96247960970945,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 05:00:00,208.4863437444728,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 09:00:00,87.19955682558005,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 07:00:00,167.84689257778888,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 21:00:00,179.48406794060142,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-13 23:00:00,189.0860004537521,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 15:00:00,158.57986560640614,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 10:00:00,77.13524134842636,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 00:00:00,170.32205846560723,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 06:00:00,207.30389680963788,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 01:00:00,171.75129738111502,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-13 22:00:00,192.5652519612136,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 20:00:00,193.43139648202165,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 18:00:00,218.8020401072488,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 13:00:00,86.53493378500248,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 02:00:00,182.38249671339608,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 19:00:00,209.259282278164,lgbm[no-fc],False
DE-LU,2026-09-14,2026-09-13 12:27:02.312747,2026-09-14 12:00:00,72.92506492463615,lgbm[no-fc],False
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-14 23:00:00,178.60218390048144,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 20:00:00,244.28850013891343,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 11:00:00,112.08446732642072,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 14:00:00,148.9991832432478,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 10:00:00,124.23659964109468,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 15:00:00,246.1764581507313,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 07:00:00,210.8516260291836,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 21:00:00,239.12016083822044,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-14 22:00:00,227.89068790302653,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 02:00:00,179.14321115753765,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 08:00:00,179.05111862688642,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 01:00:00,172.53604246781546,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 06:00:00,277.5665830681876,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 09:00:00,151.64682900568826,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 00:00:00,175.3796639249507,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 16:00:00,326.75581363564027,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 03:00:00,214.60020227839644,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 12:00:00,113.5801698981934,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 18:00:00,285.5285268182791,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 05:00:00,287.583246510005,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 17:00:00,316.1663344789123,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 19:00:00,290.2320214838077,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 13:00:00,126.9571298575579,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-13 14:14:13.344092,2026-09-15 04:00:00,249.9951944111364,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 04:00:00,249.9951944111364,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 18:00:00,285.5285268182791,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 05:00:00,287.583246510005,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 12:00:00,113.5801698981934,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 17:00:00,316.1663344789123,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 03:00:00,214.60020227839644,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 19:00:00,290.2320214838077,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 13:00:00,126.9571298575579,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 16:00:00,326.75581363564027,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 00:00:00,175.3796639249507,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 06:00:00,277.5665830681876,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 01:00:00,172.53604246781546,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 08:00:00,179.05111862688642,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 09:00:00,151.64682900568826,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 21:00:00,239.12016083822044,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 02:00:00,179.14321115753765,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-14 22:00:00,227.89068790302653,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 07:00:00,210.8516260291836,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 14:00:00,148.9991832432478,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-14 23:00:00,178.60218390048144,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 10:00:00,124.23659964109468,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 15:00:00,246.17645815073132,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 20:00:00,244.28850013891343,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 06:08:42.615421,2026-09-15 11:00:00,112.08446732642072,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 09:00:00,151.64682900568826,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 08:00:00,179.05111862688642,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 01:00:00,172.53604246781546,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 06:00:00,277.5665830681876,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 00:00:00,175.3796639249507,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 04:00:00,249.9951944111364,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 18:00:00,285.5285268182791,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 05:00:00,287.583246510005,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 12:00:00,113.5801698981934,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 17:00:00,316.1663344789123,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 03:00:00,214.60020227839644,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 19:00:00,290.2320214838077,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 13:00:00,126.9571298575579,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 16:00:00,326.75581363564027,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-14 23:00:00,178.60218390048144,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 10:00:00,124.23659964109468,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 15:00:00,246.17645815073135,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 07:00:00,210.8516260291836,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 11:00:00,112.08446732642072,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 14:00:00,148.9991832432478,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 20:00:00,244.28850013891343,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-14 22:00:00,227.89068790302653,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 02:00:00,179.14321115753765,lgbm[no-fc],True
DE-LU,2026-09-15,2026-09-14 08:07:39.181066,2026-09-15 21:00:00,239.12016083822044,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 07:00:00,209.66719099639187,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 03:00:00,189.28691738352472,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 06:00:00,220.6165281194239,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 04:00:00,225.39160420965982,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 17:00:00,270.2808087810189,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 02:00:00,152.21234201985786,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 18:00:00,243.7438890465219,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-15 22:00:00,192.42858033306243,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 05:00:00,235.53177050008682,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 00:00:00,168.902844894343,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 01:00:00,162.82816420442305,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 08:00:00,161.1459416500567,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 10:00:00,90.97118546704667,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 11:00:00,82.0497377066619,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 13:00:00,119.8266905864827,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 16:00:00,236.62485932855978,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 15:00:00,210.88009898766467,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 14:00:00,136.86081678239063,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-15 23:00:00,165.14908810474662,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 09:00:00,110.77806326298948,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 12:00:00,92.14266580367342,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 19:00:00,218.3864964065684,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 20:00:00,210.4950041486638,lgbm[no-fc],True
DE-LU,2026-09-16,2026-09-15 06:07:57.486869,2026-09-16 21:00:00,180.9354589774285,lgbm[no-fc],True
