day,revenue_forecast_eur,revenue_perfect_eur,capture_ratio,da_spread_eur,cycles
2025-01-01,-44.199473684210524,136.79526315789474,-0.32310675577409187,11.06,0.95
2025-01-02,2530.374404432133,2822.4984210526322,0.8965016191181593,151.38,1.45
2025-01-03,378.8815512465378,678.3610526315791,0.5585249179279018,46.72,1.45
2025-01-04,520.4901662049865,868.9605263157896,0.5989802188273795,61.040000000000006,1.45
2025-01-05,-962.8605263157896,145.05250000000012,-6.63801400400399,85.7,0.95
2025-01-06,339.63578947368427,601.2951315789476,0.5648404113664298,32.17,0.95
2025-01-07,1726.6015789473688,1981.161578947369,0.8715097230306409,96.1,0.95
2025-01-08,1593.3992243767314,1856.940052631579,0.8580779019326077,98.45000000000002,1.45
2025-01-09,540.6550969529083,977.181578947369,0.5532800746564502,76.69,1.45
2025-01-10,1173.949789473684,1570.5778947368417,0.7474635886623027,75.07000000000001,1.40125
2025-01-11,275.9126315789475,428.2238227146818,0.6443187346043179,34.21000000000001,0.95
2025-01-12,911.7821052631582,1046.6885000000002,0.8711112286636932,63.08,0.95
2025-01-13,2272.1431578947377,2327.943157894737,0.9760303425748326,123.09,1.9
2025-01-14,1816.0257894736856,2062.1147368421057,0.8806618550501815,86.04,1.9
2025-01-15,2643.2805263157907,4472.00105263158,0.591073323822304,270.27,1.9
2025-01-16,1145.1294736842112,1875.5642105263169,0.6105519967044303,84.62,0.95
2025-01-17,1811.1605263157905,1923.1805263157903,0.9417527379945996,93.41,1.9
2025-01-18,889.3626315789475,920.2773684210529,0.9664071529922041,52.83999999999999,1.9
2025-01-19,262.391052631579,641.2421052631576,0.4091918644735549,51.52999999999999,1.9
2025-01-20,10656.35157894737,10870.177894736844,0.9803290877242216,468.99,1.9
2025-01-21,3660.179473684211,4133.732105263159,0.8854418671746991,187.60999999999996,1.9
2025-01-22,1216.1321108033253,1965.025789473685,0.618888625949818,123.91999999999999,1.9024999999999999
2025-01-23,683.7071842105265,1073.8300000000008,0.6366996491162716,100.80000000000001,1.8525000000000003
2025-01-24,459.4809473684213,1336.5904155124656,0.343770942867528,75.63,1.4012499999999999
2025-01-25,1091.166315789474,1505.4910526315794,0.724790966961995,91.96000000000001,1.9
2025-01-26,-285.8199605263153,560.8521052631586,-0.5096173444730231,108.88000000000001,1.4012499999999999
2025-01-27,1527.7919210526318,2415.106315789474,0.632598205331268,108.57000000000001,1.8525000000000003
2025-01-28,1142.536842105263,1659.8368421052637,0.6883428618538915,92.27,1.9
2025-01-29,1476.7107479224373,2050.4573684210527,0.7201860280858086,74.45,1.45
2025-01-30,1913.416842105264,1926.2484210526322,0.9933385648459838,87.95000000000002,1.9
2025-01-31,1432.0736842105266,1577.6973684210527,0.9076985947208208,72.13999999999999,1.9
2025-02-01,407.1884210526314,1188.2815789473693,0.3426699767687523,64.87,0.95
2025-02-02,563.699473684211,860.4684487534632,0.6551076619960055,62.06999999999999,0.95
2025-02-03,2757.4200000000005,3176.7200000000003,0.868008511924249,127.93999999999998,1.9
2025-02-04,1905.5910526315795,2023.143684210527,0.9418960539004826,98.82000000000001,1.9
2025-02-05,1925.716842105264,2065.534210526316,0.9323093426831088,81.72,1.9
2025-02-06,1189.1178947368426,1368.2615789473693,0.8690720495503896,97.46999999999998,1.9
2025-02-07,1044.6847368421056,1219.062105263159,0.8569577647699822,65.49000000000001,1.9
2025-02-08,1235.7509695290864,1755.243795013851,0.7040338060385137,93.39,1.45
2025-02-09,684.4632132963998,1002.371578947369,0.6828437953270605,66.4,1.45
2025-02-10,1140.591578947369,1282.984210526316,0.8890145097572686,93.98000000000002,1.9
2025-02-11,2176.545789473684,2437.877368421053,0.8928036404404435,97.09,1.9
2025-02-12,1309.1057894736846,1389.4257894736843,0.9421919467678623,70.53999999999999,1.9
2025-02-13,1280.8089473684222,1685.258947368422,0.7600072080130121,85.77000000000001,1.9
2025-02-14,4184.295789473685,4404.160000000001,0.9500780601689502,171.26000000000002,1.9
2025-02-15,883.8689473684208,1158.2810526315798,0.7630867701412339,64.68999999999998,1.9
2025-02-16,268.88526315789545,594.7994736842111,0.45206035824545987,51.209999999999994,1.9
2025-02-17,3684.582105263158,3754.434736842106,0.9813946342192377,164.22,1.9
2025-02-18,2023.1926315789483,2511.0663157894755,0.8057105536628807,105.27000000000001,1.9
2025-02-19,1727.9973684210527,1911.425263157895,0.904036062370653,84.85000000000001,1.9
2025-02-20,724.8126315789475,902.6152631578952,0.803013932030258,45.8,1.9
2025-02-21,1134.7252631578954,1504.8347368421057,0.7540530766448914,88.17,1.9
2025-02-22,1098.7015526315793,1523.932631578948,0.7209646475600523,74.78,1.4012499999999999
2025-02-23,1404.232631578948,1731.423684210527,0.8110277365295673,89.94,1.9
2025-02-24,1494.385263157895,2014.5540526315797,0.7417945729506753,111.61000000000001,1.9
2025-02-25,2531.755263157896,2822.8436842105275,0.8968811405743705,143.14000000000001,1.9
2025-02-26,1281.1557894736852,1344.2700000000013,0.953049453959163,62.730000000000004,1.9
2025-02-27,1683.658421052632,1774.8521052631586,0.948618995385531,75.11000000000001,1.9
2025-02-28,1242.8605263157897,1356.629473684211,0.916138525975366,54.889999999999986,1.9
2025-03-01,756.5384473684212,1080.4905263157902,0.7001805466522999,61.280000000000015,1.8524999999999998
2025-03-02,2619.1526315789474,2622.1626315789476,0.9988520925575894,143.26,0.95
2025-03-03,3535.7226315789476,4160.702631578948,0.8497897938544033,183.94,1.9
2025-03-04,3452.664210526317,3629.006315789474,0.951407605851798,166.57999999999998,1.9
2025-03-05,3196.118421052632,3520.1347368421057,0.9079534336006277,150.51,1.9
2025-03-06,3527.3505263157904,3902.009473684211,0.903983075926601,165.34,1.9
2025-03-07,4102.158421052632,4252.776315789474,0.9645836311264158,208.55999999999997,1.9
2025-03-08,2554.7032409972303,3017.0463157894737,0.8467563880698127,174.39000000000001,1.45
2025-03-09,2567.878947368421,2590.298421052632,0.9913448298072544,138.95999999999998,0.95
2025-03-10,2277.3052631578953,2436.4015789473688,0.9347002903116612,98.89999999999999,1.9
2025-03-11,2179.5963157894744,2312.694210526316,0.942448986930031,108.58000000000001,1.9
